alias_id,place_id,alias
A_00735,P_0129,표선소금막해변
A_00736,P_0130,커피
A_00737,P_0130,원두커피
A_00738,P_0130,카페
A_00739,P_0130,디저트
A_00740,P_0130,플레이커피랩 중문점
A_00741,P_0130,"카페,디저트"
A_00742,P_0130,플레이커피랩
A_00743,P_0130,카페추천
A_00744,P_0130,커피전문점
A_00745,P_0131,항만시설
A_00746,P_0131,교통
A_00747,P_0131,하모방파제
A_00748,P_0131,"선착장,항만시설"
A_00749,P_0131,선착장
A_00750,P_0131,방파제
A_00751,P_0132,해변
A_00752,P_0132,모래사장
A_00753,P_0132,해수욕장
A_00754,P_0132,백사장
A_00755,P_0132,물놀이
A_00756,P_0132,바다
A_00757,P_0132,오션뷰
A_00758,P_0132,하모해수욕장
A_00759,P_0132,"해수욕장,해변"
A_00760,P_0132,해수욕
A_00761,P_0133,한라산전망대
A_00762,P_0133,전망대
A_00763,P_0133,전망
A_00764,P_0133,경치
A_00765,P_0133,뷰포인트
A_00766,P_0133,포토스팟
A_00767,P_0134,커피
A_00768,P_0134,원두커피
A_00769,P_0134,허그인
A_00770,P_0134,카페
A_00771,P_0134,디저트
A_00772,P_0134,"카페,디저트"
A_00773,P_0134,카페추천
A_00774,P_0134,허그인 제주
A_00775,P_0134,커피전문점
A_00776,P_0135,대형슈퍼
A_00777,P_0135,마트/편의점
A_00778,P_0135,홍마트 모슬포점
A_00779,P_0135,슈퍼마켓
A_00780,P_0135,홍마트
A_00781,P_0136,중국집
A_00782,P_0136,홍쉐프의중국집
A_00783,P_0136,짬뽕
A_00784,P_0136,짜장면
A_00785,P_0136,중식
A_00786,P_0136,중국요리
A_00787,P_0136,탕수육
A_00788,P_0136,중식당
A_00789,P_0137,황우치해안
A_00790,P_0138,불교
A_00791,P_0138,"절,사찰"
A_00792,P_0138,사찰
A_00793,P_0138,사원
A_00794,P_0138,효명사
A_00795,P_0138,절
A_00796,P_0138,생활/문화
A_00797,P_0138,종교
A_00798,P_0138,템플
A_00799,P_0139,휘베이글
A_00800,P_0140,히든벨류
A_00801,P_0141,성급호텔
A_00802,P_0141,호텔
A_00803,P_0141,특급호텔
A_00804,P_0141,JW 메리어트 제주 리조트 &amp; 스파
A_00805,P_0141,JW
A_00806,P_0141,호캉스
A_00807,P_0141,숙소
A_00808,P_0142,게하
A_00809,P_0142,숙소
A_00810,P_0142,게스트하우스
A_00811,P_0142,배낭여행
A_00812,P_0142,a
A_00813,P_0142,도미토리
A_00814,P_0142,a tiny little peace
A_00815,P_0143,"감성숙소,"
A_00816,P_0143,독채펜션
A_00817,P_0143,단독펜션
A_00818,P_0143,펜션
A_00819,P_0143,숙소
A_00820,P_0143,"감성숙소, 미들도어"
A_00821,P_0143,민박
A_00822,P_0144,독채펜션
A_00823,P_0144,단독펜션
A_00824,P_0144,펜션
A_00825,P_0144,계절의집
A_00826,P_0144,숙소
A_00827,P_0144,민박
A_00828,P_0145,독채펜션
A_00829,P_0145,과수원집
A_00830,P_0145,과수원집 소원재
A_00831,P_0145,단독펜션
A_00832,P_0145,펜션
A_00833,P_0145,숙소
A_00834,P_0145,민박
A_00835,P_0146,국군복지단 서귀포호텔식당
A_00836,P_0146,국군복지단
A_00837,P_0146,한식
A_00838,P_0147,귤낭하우스
A_00839,P_0147,독채펜션
A_00840,P_0147,귤낭하우스 독채펜션
A_00841,P_0147,단독펜션
A_00842,P_0147,펜션
A_00843,P_0147,숙소
A_00844,P_0147,민박
A_00845,P_0148,귤낭하우스
A_00846,P_0148,독채펜션
A_00847,P_0148,단독펜션
A_00848,P_0148,펜션
A_00849,P_0148,숙소
A_00850,P_0148,귤낭하우스 커플 가족 모던 오션뷰
A_00851,P_0148,민박
A_00852,P_0149,귤림동화
A_00853,P_0149,펜션
A_00854,P_0149,농어촌민박
A_00855,P_0149,숙소
A_00856,P_0149,민박
A_00857,P_0150,독채펜션
A_00858,P_0150,단독펜션
A_00859,P_0150,민박
A_00860,P_0150,펜션
A_00861,P_0150,숙소
A_00862,P_0150,그랑빌
A_00863,P_0151,콘도미니엄
A_00864,P_0151,리조트
A_00865,P_0151,콘도
A_00866,P_0151,숙소
A_00867,P_0151,"콘도,리조트"
A_00868,P_0151,금호제주리조트
